,total_calorie,source_type,duration,start_time,exercise_type,mean_heart_rate,max_heart_rate,max_speed,mean_cadence,min_heart_rate,vo2_max,mean_speed,end_time,sweat_loss,dia,minutos
0,81.08243,4,690231,2024-10-30 23:19:20.104,walk,96.0,119.0,1.5833334,73.019035,80.0,,0.9602582,2024-10-30 23:32:22.077,,30,11.50385
1,116.18012,4,880211,2024-10-30 13:06:36.057,walk,114.0,134.0,2.9444444,64.68903,83.0,,0.90623724,2024-10-30 13:25:05.105,,30,14.670183333333334
2,110.41841,1,775864,2024-10-30 12:51:30.165,cicling,133.0,159.0,25.0,,112.0,,3.875022,2024-10-30 13:05:59.391,,30,12.931066666666666
3,461.87,1,2575071,2024-10-30 12:06:37.604,crosstraining,145.0,185.0,,,106.0,,,2024-10-30 12:49:32.675,,30,42.91785
4,76.84,4,463420,2024-10-30 11:51:51.273,cicling,116.0,133.0,,,89.0,,,2024-10-30 11:59:34.693,,30,7.7236666666666665
5,64.94,1,508401,2024-10-30 01:22:54.305,crosstraining,108.0,129.0,,,94.0,,,2024-10-30 01:31:22.706,,30,8.47335
6,96.29901,4,820405,2024-10-29 21:02:05.130,walk,94.0,111.0,1.5,71.67191,50.0,,0.9280294,2024-10-29 21:17:27.096,,29,13.673416666666666
7,157.73767,1,1495384,2024-10-29 15:01:00.475,walk,100.0,110.0,1.7,102.675964,88.0,37.67,1.3290379,2024-10-29 15:26:11.085,120.0,29,24.923066666666667
8,102.66264,4,868286,2024-10-28 14:45:14.999,walk,98.0,108.0,1.7222221,63.297115,85.0,,0.8274577,2024-10-28 15:02:25.086,,28,14.471433333333334
9,108.69411,1,746776,2024-10-28 11:55:36.504,cicling,132.0,152.0,25.0,,119.0,,3.6503637,2024-10-28 12:08:59.344,,28,12.446266666666666
10,567.19,1,3148442,2024-10-28 11:02:57.966,crosstraining,145.0,177.0,,,87.0,,,2024-10-28 11:55:26.408,,28,52.47403333333333
11,82.34,4,379740,2024-10-28 10:54:21.398,cicling,155.0,166.0,,,134.0,,,2024-10-28 11:00:41.138,,28,6.329
12,110.17482,4,1043311,2024-10-27 16:12:47.062,walk,96.0,109.0,1.4198427,86.83891,87.0,,1.0842308,2024-10-27 16:30:18.096,,27,17.388516666666668
13,228.56447,1,2121344,2024-10-27 14:31:57.926,walk,104.0,119.0,2.3,105.35774,95.0,37.17,1.4041344,2024-10-27 15:07:31.174,165.0,27,35.35573333333333
14,94.0,4,633973,2024-10-26 13:58:29.208,walk,111.0,121.0,1.6646757,80.35042,91.0,,1.1643555,2024-10-26 14:09:03.181,,26,10.566216666666667
15,125.70131,4,955193,2024-10-25 16:11:39.058,walk,101.0,113.0,1.466981,76.88499,67.0,,1.0640467,2024-10-25 16:28:05.232,,25,15.919883333333333
16,152.99773,1,1373038,2024-10-25 14:39:38.993,walk,107.0,115.0,2.03,105.182816,87.0,36.66,1.4428983,2024-10-25 15:03:06.476,127.0,25,22.883966666666666
17,76.00002,4,665180,2024-10-23 21:13:07.980,walk,96.0,104.0,1.497283,85.24009,86.0,,1.1330768,2024-10-23 21:24:13.161,,23,11.086333333333334
18,72.0,4,635559,2024-10-23 13:15:51.540,walk,115.0,126.0,1.5308733,77.034546,88.0,,1.0319734,2024-10-23 13:26:27.099,,23,10.59265
19,643.85,1,3616543,2024-10-23 12:04:33.727,crosstraining,143.0,179.0,,,83.0,,,2024-10-23 13:04:50.270,,23,60.27571666666667
20,97.70235,4,777532,2024-10-22 12:25:42.225,walk,99.0,115.0,1.5985823,65.97,87.0,,0.9931553,2024-10-22 12:40:39.136,,22,12.958866666666667
21,79.941895,4,692375,2024-10-21 13:19:32.115,walk,120.0,136.0,1.7777778,71.23308,89.0,,0.9463225,2024-10-21 13:31:46.099,,21,11.539583333333333
22,664.04,1,3551770,2024-10-21 12:03:22.384,crosstraining,149.0,187.0,,,88.0,,,2024-10-21 13:02:34.154,,21,59.19616666666667
23,68.541016,4,668700,2024-10-20 13:32:19.119,walk,92.0,109.0,1.5417478,73.39614,54.0,,0.9730971,2024-10-20 13:43:51.719,,20,11.145
24,79.0,4,669942,2024-10-19 00:32:55.123,walk,100.0,128.0,1.6388888,64.84143,72.0,,0.87095594,2024-10-19 00:44:05.065,,19,11.1657
25,378.91306,1,2323282,2024-10-18 12:03:19.246,crosstraining,131.0,170.0,,,75.0,,,2024-10-18 12:57:48.913,,18,38.72136666666667
26,62.478756,4,670775,2024-10-18 11:43:23.061,0,111.0,126.0,,,99.0,,,2024-10-18 11:54:50.568,,18,11.179583333333333
27,195.08588,1,1757051,2024-10-18 00:00:10.214,walk,108.0,122.0,2.36,89.433945,94.0,36.15,1.4718189,2024-10-18 00:29:51.291,156.0,18,29.284183333333335
28,84.16507,4,658420,2024-10-17 20:12:17.224,walk,98.0,114.0,1.7834662,74.99773,81.0,,1.1066645,2024-10-17 20:24:07.112,,17,10.973666666666666
29,27.89,1,233711,2024-10-17 13:14:04.336,crosstraining,113.0,123.0,,,98.0,,,2024-10-17 13:17:58.047,,17,3.895183333333333
30,535.6,1,3018626,2024-10-17 12:08:40.893,crosstraining,144.0,183.0,,,100.0,,,2024-10-17 12:58:59.519,,17,50.310433333333336
31,6.76,1,65645,2024-10-15 23:15:21.381,crosstraining,99.0,107.0,,,86.0,,,2024-10-15 23:16:27.026,,15,1.0940833333333333
32,1003.73,1,5080870,2024-10-15 21:37:13.786,crosstraining,155.0,184.0,,,98.0,,,2024-10-15 23:01:54.656,,15,84.68116666666667
33,105.24,4,686740,2024-10-15 20:23:55.501,cicling,120.0,137.0,,,90.0,,,2024-10-15 20:35:22.241,,15,11.445666666666666
34,177.34566,1,1578092,2024-10-14 19:49:02.662,walk,109.0,132.0,1.74,101.36291,76.0,36.12,1.3015224,2024-10-14 20:16:48.649,144.0,14,26.30153333333333
35,610.54,1,3354738,2024-10-14 12:07:42.309,crosstraining,146.0,186.0,,,73.0,,,2024-10-14 13:03:37.047,,14,55.9123
36,215.49,1,1805400,2024-10-13 01:28:30.439,crosstraining,103.0,141.0,,,55.0,,,2024-10-13 01:58:35.839,,13,30.09
37,343.0467,1,3171088,2024-10-12 20:46:41.781,walk,96.0,112.0,1.91,101.71904,83.0,36.21,1.3316537,2024-10-12 21:40:01.878,218.0,12,52.85146666666667
38,156.6038,4,1324009,2024-10-12 01:18:00.253,walk,110.0,117.0,1.5555556,98.51897,85.0,,1.2971512,2024-10-12 01:41:15.112,,12,22.066816666666668
39,182.77347,4,1534218,2024-10-11 22:19:39.023,walk,114.0,127.0,1.616446,78.84147,88.0,,1.2176952,2024-10-11 22:48:44.114,,11,25.5703
40,95.226776,4,947890,2024-10-11 16:28:58.531,0,114.0,125.0,,,102.0,,,2024-10-11 16:44:47.604,,11,15.798166666666667
41,169.73463,1,1333954,2024-10-11 15:31:13.957,walk,113.0,129.0,2.1,99.6736,92.0,35.89,1.2423525,2024-10-11 15:57:38.903,139.0,11,22.232566666666667
42,302.66455,1,1535384,2024-10-11 13:48:13.748,walk,125.0,149.0,2.15,95.38982,83.0,35.96,1.3033143,2024-10-11 14:36:08.087,201.0,11,25.589733333333335
43,506.03,1,2856143,2024-10-11 12:59:20.164,crosstraining,143.0,179.0,,,81.0,,,2024-10-11 13:46:56.307,,11,47.602383333333336
44,128.37688,1,1158662,2024-10-11 12:36:25.252,walk,114.0,123.0,1.91,104.965904,107.0,36.2,1.3390523,2024-10-11 12:55:52.920,143.0,11,19.311033333333334
45,142.0,4,1268049,2024-10-10 23:27:43.071,walk,112.0,128.0,1.6837122,99.41257,87.0,,1.3339627,2024-10-10 23:48:51.119,,10,21.13415
46,85.2562,1,3318092,2024-10-10 19:53:40.854,walk,103.0,118.0,2.7,90.16025,69.0,36.29,1.4211996,2024-10-10 22:16:51.219,493.0,10,55.30153333333333
47,147.77899,1,1362518,2024-10-10 00:35:49.786,walk,108.0,119.0,2.1,99.69778,97.0,36.29,1.3410047,2024-10-10 00:58:44.452,122.0,10,22.708633333333335
48,327.6757,1,2038331,2024-10-09 18:22:59.282,walk,102.0,116.0,2.12,89.57328,65.0,36.33,1.4857572,2024-10-09 19:15:37.681,196.0,9,33.972183333333334
49,514.88,1,3023425,2024-10-09 12:05:17.500,crosstraining,140.0,184.0,,,87.0,,,2024-10-09 12:55:40.925,,9,50.39041666666667
50,645.17566,1,2304865,2024-10-08 22:19:09.989,walk,97.0,119.0,5.0,90.90337,67.0,36.27,1.4582138,2024-10-08 23:54:11.443,319.0,8,38.41441666666667
51,189.26936,1,1735526,2024-10-08 19:19:54.181,walk,100.0,116.0,1.91,102.332085,87.0,36.17,1.3484453,2024-10-08 19:49:24.490,145.0,8,28.925433333333334
52,77.0,4,722498,2024-10-08 15:06:04.124,walk,86.0,94.0,1.8333334,79.225136,75.0,,0.99468786,2024-10-08 15:18:06.622,,8,12.041633333333333
53,65.0,4,621501,2024-10-08 01:07:42.129,walk,102.0,112.0,1.4127333,106.484146,89.0,,1.312146,2024-10-08 01:18:03.630,,8,10.35835
54,220.7565,1,2063282,2024-10-07 21:33:45.652,walk,107.0,121.0,1.85,101.60511,93.0,36.06,1.3813007,2024-10-07 22:08:20.442,183.0,7,34.38803333333333
55,72.19536,4,688482,2024-10-07 14:02:47.035,walk,108.0,121.0,1.6944444,65.79693,95.0,,0.8452363,2024-10-07 14:14:24.147,,7,11.4747
56,592.53,1,3284384,2024-10-07 12:06:34.886,crosstraining,145.0,190.0,,,88.0,,,2024-10-07 13:01:19.270,,7,54.739733333333334
57,95.6559,4,860844,2024-10-05 20:25:03.264,walk,95.0,112.0,1.7157061,73.88098,82.0,,0.9445033,2024-10-05 20:39:53.083,,5,14.3474
58,112.0,4,1094368,2024-10-05 01:26:40.810,walk,111.0,124.0,1.38167,102.524925,97.0,,1.2525676,2024-10-05 01:44:55.178,,5,18.239466666666665
59,101.07128,4,804331,2024-10-04 22:11:23.121,walk,104.0,121.0,1.4722222,75.86429,87.0,,1.0288427,2024-10-04 22:27:03.129,,4,13.405516666666667
60,572.56,1,3316569,2024-10-04 12:07:33.924,crosstraining,141.0,181.0,,,96.0,,,2024-10-04 13:02:50.493,,4,55.27615
61,1117.53,1,5652269,2024-10-03 21:36:45.094,crosstraining,154.0,197.0,,,61.0,,,2024-10-03 23:10:57.363,,3,94.20448333333333
62,155.86206,1,1458936,2024-10-02 17:51:08.713,walk,110.0,117.0,1.75,101.25187,102.0,35.99,1.4514241,2024-10-02 18:15:30.788,142.0,2,24.3156
63,612.29,1,3484428,2024-10-02 12:05:30.393,crosstraining,143.0,175.0,,,69.0,,,2024-10-02 13:03:34.821,,2,58.0738
64,72.27069,4,658399,2024-10-01 22:42:34.753,walk,105.0,118.0,1.5277778,79.28323,88.0,,1.0143089,2024-10-01 22:53:45.110,,1,10.973316666666667
65,349.70953,1,3245188,2024-10-01 21:31:38.208,walk,112.0,124.0,2.15,106.57009,98.0,35.95,1.4844133,2024-10-01 22:25:51.106,291.0,1,54.08646666666667
